Timestamp,"Do you study in public spaces? e.g. library, park, train",Do you genuinely go to public spaces to study or do you just muck around?,Where?,How often?,Do you go with friends?,Do you get more work done than if you studied at home?,Do you study better if the place is less crowded?,How long do you study for at that space? (pick the closest one),Why not?,How close do you live to a public space?
7/31/2025 11:09:07,Yes,I muck around :(,Library,1,Yes,I do the same amount,Crowdedness makes me do less work,1 hour,,4
8/4/2025 10:49:35,No,,,,,,,,I don't usually enjoy staying in public places unless I have friends. I do sometimes study in public spaces like libraries or parks (if it is a good day) but only when I have friend or am being tutored.,10
8/4/2025 10:49:42,Yes,I do work :),"Library, School",2,No,Yes,Crowdedness makes me do less work,1 hour,,2
8/4/2025 10:49:58,No,,,,,,,,I prefer to study in a quiet space . e.g my home,8
8/4/2025 10:50:02,No,,,,,,,,I get distracted by the public and surrounding noises,10
8/4/2025 10:50:06,Yes,I do work :),"Library, Train, School",10,No,No,Crowdedness makes me do less work,30 mins,,10
8/4/2025 10:50:12,No,,,,,,,,Because I'd rather go instagram reeling,10
8/4/2025 10:50:15,Yes,I do work :),"Library, School",8,Yes,Yes,Crowdedness makes me do less work,2 hours,,10
8/4/2025 10:50:20,Yes,I muck around :(,"Library, Park, Train, School",3,Yes,No,Crowdedness makes me do less work,30 mins,,10
8/4/2025 10:50:24,Yes,I do work :),"Library, Park, School",2,Yes,Yes,Crowdedness makes me do less work,30 mins,,10
8/4/2025 10:50:30,No,,,,,,,,I find it hard to study because the noise and the environment is overstimulating and i can't focus,8
8/4/2025 10:50:31,Yes,I do work :),"Library, Park, Train, School",9,Yes,Yes,It doesnt change anything,1 hour,,6
8/4/2025 10:50:43,No,,,,,,,,because i dont study,10
8/4/2025 10:50:45,No,,,,,,,,It is distracting and too many people,9
8/4/2025 10:50:47,Yes,I do work :),"Library, Train, School",6,No,I do the same amount,It doesnt change anything,30 mins,,9
8/4/2025 10:50:51,No,,,,,,,,Very noisy because of other school kids even in the library ,7
8/4/2025 10:50:57,No,,,,,,,,Because my laptop is really big and I have nowhere to put it,10
8/4/2025 10:51:04,No,,,,,,,,because studying bad 🥀,10
8/4/2025 10:51:15,Yes,I muck around :(,Library,6,Yes,Yes,Crowdedness makes me do less work,1 hour,,8
8/4/2025 10:51:26,Yes,I muck around :(,Train,3,Yes,No,It doesnt change anything,30 mins,,8
8/4/2025 10:51:41,Yes,I muck around :(,"Library, Train, School",4,Yes,No,It doesnt change anything,1 hour,,10
8/4/2025 10:51:52,Yes,I do work :),Train,4,No,No,Crowdedness makes me do less work,30 mins,,10
8/4/2025 10:51:54,Yes,I muck around :(,"Library, Train, School",8,Yes,No,It doesnt change anything,2 hours,,9
8/4/2025 10:51:57,Yes,I do work :),"Library, Train, School",9,Yes,Yes,Crowdedness makes me do less work,2 hours,,8
8/4/2025 10:52:00,No,,,,,,,,Find it easier at home.,7
8/4/2025 10:52:07,No,,,,,,,,too distracting,10
8/4/2025 10:52:18,Yes,I muck around :(,"Library, Train, School",7,Yes,Yes,Crowdedness makes me do less work,30 mins,,1
8/4/2025 10:52:40,Yes,I do work :),"Library, School",6,Yes,I do the same amount,It doesnt change anything,More,,10
8/4/2025 10:52:42,Yes,I do work :),"Library, Train, School",10,No,No,Crowdedness makes me do less work,30 mins,,10
8/4/2025 10:52:56,Yes,I do work :),"Library, Train, School",2,Yes,I do the same amount,Crowdedness makes me do less work,More,,5
8/4/2025 10:52:59,Yes,I do work :),"Library, Train, School",3,No,Yes,Crowdedness makes me do less work,1 hour,,10
8/4/2025 10:53:07,Yes,I do work :),"Train, School",7,No,I do the same amount,Crowdedness makes me do less work,30 mins,,8
8/4/2025 10:53:08,Yes,I do work :),"Library, Train, School, Maccas",5,No,No,Crowdedness makes me do less work,30 mins,,7
8/4/2025 10:53:33,No,,,,,,,,Presence of other people is distracting ,10
8/4/2025 10:54:01,No,,,,,,,,because home study feels more organised and ready to go,10
8/4/2025 10:54:17,Yes,I do work :),"Library, School",5,Yes,I do the same amount,It doesnt change anything,30 mins,,5
